txn_id,amount,fromC,toC,date,time,txn_time
1,48.26,1,10,2021-03-28,0:55:45,2021-03-28 0:55:45+00
2,84.13,2,1,2021-03-24,3:39:40,2021-03-24 3:39:40+00
3,56.53,3,2,2020-05-05,20:46:55,2020-05-05 20:46:55+00
4,79.84,4,3,2021-04-25,18:41:41,2021-04-25 18:41:41+00
5,52.66,5,4,2020-04-19,2:53:13,2020-04-19 2:53:13+00
6,10.7,6,5,2020-06-05,9:24:37,2020-06-05 9:24:37+00
7,90.96,7,6,2020-05-28,6:10:17,2020-05-28 6:10:17+00
8,56.95,8,7,2020-12-03,16:25:16,2020-12-03 16:25:16+00
9,97.32,9,8,2021-10-01,5:21:36,2021-10-01 5:21:36+00
10,84.93,10,9,2021-06-23,22:32:48,2021-06-23 22:32:48+00
11,80.86,10,1,2020-04-29,6:49:27,2020-04-29 6:49:27+00
12,57.16,1,2,2021-10-25,15:24:26,2021-10-25 15:24:26+00
13,38.28,2,3,2021-07-17,13:53:48,2021-07-17 13:53:48+00
14,96.15,3,4,2020-07-14,12:32:00,2020-07-14 12:32:00+00
15,49.34,4,5,2020-11-04,2:25:41,2020-11-04 2:25:41+00
16,40.44,5,6,2021-08-04,10:52:28,2021-08-04 10:52:28+00
17,99.29,6,7,2022-02-04,20:38:21,2022-02-04 20:38:21+00
18,77.99,7,8,2021-01-30,3:56:06,2021-01-30 3:56:06+00
19,45.03,8,9,2021-11-08,3:09:17,2021-11-08 3:09:17+00
20,11.69,9,10,2022-02-01,0:41:28,2022-02-01 0:41:28+00
